season,player_id,player,team,gp,mpg,ppg,rpg,apg,spg,bpg,jersey,all_nba,all_defense,champion,mvp,dpoy,roy
2025-26,1629012,Collin Sexton,CHA,42,22.3,14.2,1.9,3.7,0.9,0.2,8,,,False,False,False,False
2025-26,1629684,Grant Williams,CHA,36,19.8,7.0,3.9,1.6,0.5,0.5,2,,,False,False,False,False
2025-26,1630182,Josh Green,CHA,58,15.7,4.3,1.8,0.8,0.6,0.1,10,,,False,False,False,False
2025-26,1642851,Kon Knueppel,CHA,81,31.5,18.5,5.3,3.4,0.7,0.2,7,,,False,False,False,False
2025-26,1630163,LaMelo Ball,CHA,72,28.0,20.1,4.8,7.1,1.2,0.2,1,,,False,False,False,False
2025-26,1642862,Liam McNeeley,CHA,31,11.9,4.3,2.4,0.8,0.2,0.1,33,,,False,False,False,False
2025-26,1628970,Miles Bridges,CHA,77,31.0,17.1,5.8,3.2,0.6,0.4,0,,,False,False,False,False
2025-26,1631217,Moussa Diabaté,CHA,73,26.0,7.9,8.7,1.9,0.8,1.0,14,,,False,False,False,False
2025-26,1641750,Ryan Kalkbrenner,CHA,69,21.4,7.6,5.5,0.8,0.5,1.5,11,,,False,False,False,False
2025-26,1642883,Sion James,CHA,82,22.5,5.4,3.5,2.0,0.6,0.2,4,,,False,False,False,False
2025-26,1642275,Tidjane Salaün,CHA,37,15.6,6.0,4.0,0.7,0.4,0.2,31,,,False,False,False,False
2025-26,1630544,Tre Mann,CHA,53,12.6,5.5,1.7,1.6,0.5,0.1,23,,,False,False,False,False
2025-26,1630245,Ayo Dosunmu,CHI,45,26.4,15.0,3.0,3.6,0.8,0.3,11,,,False,False,False,False
2025-26,1629632,Coby White,CHI,29,29.1,18.6,3.7,4.7,0.7,0.1,0,,,False,False,False,False
2025-26,1629012,Collin Sexton,CHI,26,26.0,17.5,2.9,2.5,1.5,0.1,2,,,False,False,False,False
2025-26,1631207,Dalen Terry,CHI,34,11.1,3.5,1.9,1.3,0.6,0.3,7,,,False,False,False,False
2025-26,1627824,Guerschon Yabusele,CHI,26,24.7,10.0,5.7,1.7,0.8,0.4,28,,,False,False,False,False
2025-26,1630171,Isaac Okoro,CHI,63,26.9,9.3,2.7,1.6,0.7,0.5,35,,,False,False,False,False
2025-26,1630188,Jalen Smith,CHI,53,20.7,10.2,6.7,1.2,0.5,0.8,25,,,False,False,False,False
2025-26,1628975,Jevon Carter,CHI,23,11.1,5.4,1.1,0.8,0.6,0.1,5,,,False,False,False,False
2025-26,1630581,Josh Giddey,CHI,54,32.1,17.0,8.3,9.1,1.0,0.5,3,,,False,False,False,False
2025-26,1628989,Kevin Huerter,CHI,44,23.6,10.9,3.8,2.6,0.8,0.6,13,,,False,False,False,False
2025-26,1631159,Leonard Miller,CHI,27,23.1,11.7,5.8,1.3,0.5,0.6,11,,,False,False,False,False
2025-26,1641824,Matas Buzelis,CHI,77,29.2,16.3,5.8,2.1,0.7,1.5,14,,,False,False,False,False
2025-26,1630208,Nick Richards,CHI,20,22.4,9.3,7.6,0.4,0.3,0.9,13,,,False,False,False,False
2025-26,202696,Nikola Vučević,CHI,48,30.8,16.9,9.0,3.8,0.7,0.6,9,,,False,False,False,False
2025-26,1630172,Patrick Williams,CHI,72,20.5,7.0,3.0,1.5,0.7,0.4,44,,,False,False,False,False
2025-26,1642265,Rob Dillingham,CHI,30,21.5,9.6,3.0,2.8,0.9,0.1,7,,,False,False,False,False
2025-26,1630200,Tre Jones,CHI,65,27.0,14.1,3.1,5.4,1.2,0.2,30,,,False,False,False,False
2025-26,1642530,Yuki Kawamura,CHI,18,11.6,3.4,1.8,2.6,0.5,0.0,8,,,False,False,False,False
2025-26,1641854,Craig Porter Jr.,CLE,64,17.9,4.5,3.4,3.2,0.9,0.6,9,,,False,False,False,False
2025-26,1629636,Darius Garland,CLE,26,30.5,18.0,2.4,6.9,0.8,0.1,10,,,False,False,False,False
2025-26,1629631,De'Andre Hunter,CLE,43,26.2,14.0,4.2,2.1,0.7,0.1,12,,,False,False,False,False
2025-26,1629731,Dean Wade,CLE,59,22.3,5.8,4.2,1.5,0.7,0.4,32,,,False,False,False,False
2025-26,203471,Dennis Schröder,CLE,30,21.4,8.2,2.3,4.3,0.8,0.2,8,,,False,False,False,False
2025-26,1628378,Donovan Mitchell,CLE,70,33.5,27.9,4.5,5.7,1.5,0.3,45,2,,False,False,False,False
2025-26,1630596,Evan Mobley,CLE,65,31.9,18.2,9.0,3.6,0.7,1.7,4,,,False,False,False,False
2025-26,201935,James Harden,CLE,26,33.8,20.5,4.8,7.7,0.8,0.5,1,,,False,False,False,False
2025-26,1628386,Jarrett Allen,CLE,56,27.1,15.4,8.5,1.8,1.0,0.8,31,,,False,False,False,False
2025-26,1642281,Jaylon Tyson,CLE,66,26.9,13.2,5.1,2.2,0.8,0.4,20,,,False,False,False,False
2025-26,1631165,Keon Ellis,CLE,29,24.8,8.3,2.8,1.6,1.3,0.8,14,,,False,False,False,False
2025-26,1626204,Larry Nance Jr.,CLE,35,12.8,3.7,2.7,1.0,0.6,0.2,22,,,False,False,False,False
2025-26,1628366,Lonzo Ball,CLE,35,20.8,4.6,4.0,3.9,1.3,0.3,2,,,False,False,False,False
2025-26,1641772,Nae'Qwan Tomlin,CLE,64,15.7,5.8,2.9,0.8,0.6,0.5,35,,,False,False,False,False
2025-26,1630241,Sam Merrill,CLE,52,26.5,12.8,2.6,2.4,0.6,0.1,5,,,False,False,False,False
2025-26,1628418,Thomas Bryant,CLE,60,12.2,6.2,3.4,0.6,0.3,0.4,3,,,False,False,False,False
2025-26,1642878,Tyrese Proctor,CLE,50,10.9,5.4,1.3,1.5,0.5,0.0,24,,,False,False,False,False
2025-26,1642358,AJ Johnson,DAL,23,10.4,3.9,1.0,1.1,0.2,0.1,8,,,False,False,False,False
2025-26,203076,Anthony Davis,DAL,20,31.3,20.4,11.1,2.8,1.1,1.6,3,,,False,False,False,False
2025-26,1630314,Brandon Williams,DAL,66,22.2,13.0,2.9,3.9,0.9,0.3,10,,,False,False,False,False
2025-26,1628997,Caleb Martin,DAL,58,14.8,3.9,2.5,1.4,0.7,0.3,16,,,False,False,False,False
2025-26,1642843,Cooper Flagg,DAL,70,33.5,21.0,6.7,4.5,1.2,0.9,32,,,False,False,False,True
2025-26,1626156,D'Angelo Russell,DAL,26,19.0,10.2,2.3,4.0,0.5,0.1,5,,,False,False,False,False
2025-26,1629655,Daniel Gafford,DAL,55,21.7,9.5,6.9,1.1,0.8,1.3,21,,,False,False,False,False
2025-26,203939,Dwight Powell,DAL,63,14.4,3.3,4.1,1.1,0.5,0.3,7,,,False,False,False,False
2025-26,1630702,Jaden Hardy,DAL,34,12.6,6.9,1.4,0.9,0.3,0.1,1,,,False,False,False,False
2025-26,203114,Khris Middleton,DAL,29,21.1,10.0,3.3,2.2,0.5,0.0,20,,,False,False,False,False
2025-26,202691,Klay Thompson,DAL,69,21.7,11.7,2.1,1.4,0.5,0.3,31,,,False,False,False,False
2025-26,1628963,Marvin Bagley III,DAL,22,21.4,11.0,6.8,1.3,0.4,0.7,35,,,False,False,False,False
2025-26,1631108,Max Christie,DAL,77,29.1,12.3,3.2,2.0,0.6,0.4,0,,,False,False,False,False
2025-26,1630619,Moussa Cisse,DAL,38,13.9,4.5,5.7,0.2,0.5,1.2,30,,,False,False,False,False
2025-26,1630230,Naji Marshall,DAL,74,29.5,15.2,4.7,3.3,1.1,0.1,13,,,False,False,False,False
