season,player_id,player,team,gp,mpg,ppg,rpg,apg,spg,bpg,jersey,all_nba,all_defense,champion,mvp,dpoy,roy
2023-24,203992,Bogdan Bogdanović,ATL,79,30.4,16.9,3.4,3.1,1.2,0.3,13,,,False,False,False,False
2023-24,1628981,Bruno Fernando,ATL,45,15.2,6.3,4.3,1.0,0.6,0.6,24,,,False,False,False,False
2023-24,203991,Clint Capela,ATL,73,25.8,11.5,10.6,1.2,0.6,1.5,15,,,False,False,False,False
2023-24,1629631,De'Andre Hunter,ATL,57,29.5,15.6,3.9,1.5,0.7,0.3,12,,,False,False,False,False
2023-24,1627749,Dejounte Murray,ATL,78,35.7,22.5,5.3,6.4,1.4,0.3,5,,,False,False,False,False
2023-24,1629726,Garrison Mathews,ATL,66,15.0,4.9,1.4,0.6,0.3,0.1,25,,,False,False,False,False
2023-24,1630552,Jalen Johnson,ATL,56,33.7,16.0,8.7,3.6,1.2,0.8,1,,,False,False,False,False
2023-24,1641723,Kobe Bufkin,ATL,17,11.5,4.8,1.9,1.6,0.4,0.3,4,,,False,False,False,False
2023-24,1630168,Onyeka Okongwu,ATL,55,25.5,10.2,6.8,1.3,0.5,1.1,17,,,False,False,False,False
2023-24,201988,Patty Mills,ATL,19,10.6,2.7,1.1,0.7,0.5,0.1,8,,,False,False,False,False
2023-24,1630180,Saddiq Bey,ATL,63,32.7,13.7,6.5,1.5,0.8,0.2,41,,,False,False,False,False
2023-24,1629027,Trae Young,ATL,54,36.0,25.7,2.8,10.8,1.3,0.2,11,,,False,False,False,False
2023-24,1630235,Trent Forrest,ATL,38,10.9,2.2,1.3,2.4,0.3,0.1,2,,,False,False,False,False
2023-24,1630249,Vít Krejčí,ATL,22,24.6,6.1,2.4,2.3,0.6,0.3,27,,,False,False,False,False
2023-24,202083,Wesley Matthews,ATL,36,11.5,3.1,1.5,0.6,0.4,0.3,32,,,False,False,False,False
2023-24,1627732,Ben Simmons,BKN,15,23.9,6.1,7.9,5.7,0.8,0.6,10,,,False,False,False,False
2023-24,1630560,Cam Thomas,BKN,66,31.4,22.5,3.2,2.9,0.7,0.2,24,,,False,False,False,False
2023-24,1629661,Cameron Johnson,BKN,58,27.6,13.4,4.3,2.4,0.8,0.3,2,,,False,False,False,False
2023-24,1630549,Day'Ron Sharpe,BKN,61,15.1,6.8,6.4,1.4,0.4,0.7,20,,,False,False,False,False
2023-24,203471,Dennis Schröder,BKN,29,32.0,14.6,3.5,6.0,0.6,0.3,17,,,False,False,False,False
2023-24,1628372,Dennis Smith Jr.,BKN,56,18.9,6.6,2.9,3.6,1.2,0.2,4,,,False,False,False,False
2023-24,1627827,Dorian Finney-Smith,BKN,68,28.4,8.5,4.7,1.6,0.8,0.6,28,,,False,False,False,False
2023-24,1630592,Jalen Wilson,BKN,43,15.5,5.0,3.0,1.0,0.3,0.1,22,,,False,False,False,False
2023-24,1629022,Lonnie Walker IV,BKN,58,17.4,9.7,2.2,1.3,0.6,0.3,8,,,False,False,False,False
