season,player_id,player,team,gp,mpg,ppg,rpg,apg,spg,bpg,jersey,all_nba,all_defense,champion,mvp,dpoy,roy
2024-25,1627827,Dorian Finney-Smith,BKN,20,29.0,10.4,4.6,1.6,0.9,0.6,28,,,False,False,False,False
2024-25,1630592,Jalen Wilson,BKN,79,25.7,9.5,3.4,1.8,0.5,0.1,22,,,False,False,False,False
2024-25,1630553,Keon Johnson,BKN,79,24.4,10.6,3.8,2.2,1.0,0.4,45,,,False,False,False,False
2024-25,1641721,Maxwell Lewis,BKN,21,14.2,5.3,2.5,0.8,0.4,0.3,27,,,False,False,False,False
2024-25,1629651,Nic Claxton,BKN,70,26.9,10.3,7.4,2.2,0.9,1.4,33,,,False,False,False,False
2024-25,1641730,Noah Clowney,BKN,46,22.7,9.1,3.9,0.9,0.5,0.5,21,,,False,False,False,False
2024-25,1641736,Reece Beekman,BKN,34,13.7,2.7,1.1,1.8,0.9,0.1,4,,,False,False,False,False
2024-25,1629003,Shake Milton,BKN,27,18.2,7.4,1.9,2.4,0.6,0.0,7,,,False,False,False,False
2024-25,1641787,Tosan Evbuomwan,BKN,28,23.7,9.5,4.3,2.0,0.9,0.4,12,,,False,False,False,False
2024-25,1630570,Trendon Watford,BKN,44,20.7,10.2,3.6,2.6,0.6,0.3,9,,,False,False,False,False
2024-25,1631213,Tyrese Martin,BKN,60,21.9,8.7,3.7,2.0,0.6,0.2,13,,,False,False,False,False
2024-25,1630533,Ziaire Williams,BKN,63,24.5,10.0,4.6,1.3,1.0,0.4,8,,,False,False,False,False
2024-25,201143,Al Horford,BOS,60,27.6,9.0,6.2,2.1,0.6,0.9,42,,,False,False,False,False
2024-25,1631248,Baylor Scheierman,BOS,31,12.4,3.6,2.1,1.1,0.5,0.1,55,,,False,False,False,False
2024-25,1628401,Derrick White,BOS,76,33.9,16.4,4.5,4.8,0.9,1.1,9,,,False,False,False,False
2024-25,1627759,Jaylen Brown,BOS,63,34.3,22.2,5.8,4.5,1.2,0.3,7,,,False,False,False,False
2024-25,1628369,Jayson Tatum,BOS,72,36.4,26.8,8.7,6.0,1.1,0.5,0,1,,False,False,False,False
2024-25,201950,Jrue Holiday,BOS,62,30.6,11.1,4.3,3.9,1.1,0.4,4,,,False,False,False,False
2024-25,204001,Kristaps Porziņģis,BOS,42,28.8,19.5,6.8,2.1,0.7,1.5,8,,,False,False,False,False
2024-25,1628436,Luke Kornet,BOS,73,18.6,6.0,5.3,1.6,0.5,1.0,40,,,False,False,False,False
2024-25,1629674,Neemias Queta,BOS,62,13.9,5.0,3.8,0.7,0.3,0.7,88,,,False,False,False,False
2024-25,1630202,Payton Pritchard,BOS,80,28.4,14.3,3.8,3.5,0.9,0.2,11,,,False,False,False,False
2024-25,1630573,Sam Hauser,BOS,71,21.7,8.5,3.2,0.9,0.6,0.2,30,,,False,False,False,False
2024-25,1628470,Torrey Craig,BOS,17,11.8,2.7,2.8,0.7,0.4,0.6,12,,,False,False,False,False
2024-25,1641706,Brandon Miller,CHA,27,34.2,21.0,4.9,3.6,1.1,0.7,24,,,False,False,False,False
2024-25,1628998,Cody Martin,CHA,39,24.8,7.8,4.5,2.3,1.1,0.7,11,,,False,False,False,False
2024-25,1629610,DaQuan Jeffries,CHA,47,22.8,6.7,2.9,1.1,0.6,0.5,3,,,False,False,False,False
2024-25,1641878,Damion Baugh,CHA,15,24.7,7.3,3.3,3.7,1.0,0.1,7,,,False,False,False,False
2024-25,1629684,Grant Williams,CHA,16,30.0,10.4,5.1,2.3,1.1,0.8,2,,,False,False,False,False
2024-25,1631209,Isaiah Wong,CHA,20,13.3,6.0,1.6,1.4,0.6,0.0,21,,,False,False,False,False
2024-25,1630182,Josh Green,CHA,68,27.8,7.4,2.5,1.6,1.1,0.2,10,,,False,False,False,False
2024-25,1629006,Josh Okogie,CHA,15,18.3,8.9,2.7,1.3,1.8,0.5,12,,,False,False,False,False
2024-25,203994,Jusuf Nurkić,CHA,26,18.1,9.2,6.5,2.6,0.7,0.7,11,,,False,False,False,False
2024-25,1642354,KJ Simpson,CHA,36,23.4,7.8,3.0,3.1,0.9,0.2,25,,,False,False,False,False
2024-25,1630163,LaMelo Ball,CHA,47,32.0,25.2,5.0,7.4,1.1,0.3,1,,,False,False,False,False
2024-25,1631109,Mark Williams,CHA,44,26.6,15.3,10.2,2.5,0.7,1.2,5,,,False,False,False,False
2024-25,1628970,Miles Bridges,CHA,64,31.7,20.3,7.5,3.9,0.7,0.7,0,,,False,False,False,False
2024-25,1631217,Moussa Diabaté,CHA,71,17.5,5.7,6.2,0.8,0.6,0.6,14,,,False,False,False,False
2024-25,1630208,Nick Richards,CHA,21,21.0,8.9,7.5,1.3,0.3,1.2,4,,,False,False,False,False
2024-25,1641733,Nick Smith Jr.,CHA,60,22.8,9.9,2.1,2.4,0.3,0.1,8,,,False,False,False,False
2024-25,203552,Seth Curry,CHA,68,15.6,6.5,1.7,0.9,0.4,0.1,30,,,False,False,False,False
2024-25,201959,Taj Gibson,CHA,37,11.1,2.9,3.2,0.6,0.2,0.5,67,,,False,False,False,False
2024-25,1642275,Tidjane Salaün,CHA,60,20.7,5.9,4.7,1.2,0.5,0.2,31,,,False,False,False,False
2024-25,203995,Vasilije Micic,CHA,36,21.2,7.5,2.4,3.5,0.4,0.0,22,,,False,False,False,False
2024-25,1631111,Wendell Moore Jr.,CHA,16,17.5,5.4,3.2,1.2,0.6,0.1,9,,,False,False,False,False
2024-25,1630245,Ayo Dosunmu,CHI,46,30.3,12.3,3.5,4.5,0.9,0.4,11,,,False,False,False,False
2024-25,1629632,Coby White,CHI,74,33.1,20.4,3.7,4.5,0.9,0.2,0,,,False,False,False,False
2024-25,1631207,Dalen Terry,CHI,73,13.5,4.5,1.7,1.3,0.6,0.2,25,,,False,False,False,False
2024-25,1630188,Jalen Smith,CHI,64,15.0,8.2,5.6,1.0,0.3,0.7,7,,,False,False,False,False
2024-25,1630581,Josh Giddey,CHI,70,30.2,14.6,8.1,7.2,1.2,0.6,3,,,False,False,False,False
2024-25,1641763,Julian Phillips,CHI,79,14.2,4.6,2.1,0.5,0.5,0.3,15,,,False,False,False,False
2024-25,1628989,Kevin Huerter,CHI,26,30.0,13.2,3.3,3.2,1.2,0.3,13,,,False,False,False,False
2024-25,1628366,Lonzo Ball,CHI,35,22.2,7.6,3.4,3.3,1.3,0.5,2,,,False,False,False,False
2024-25,1641824,Matas Buzelis,CHI,80,18.9,8.6,3.5,1.0,0.4,0.9,14,,,False,False,False,False
2024-25,202696,Nikola Vučević,CHI,73,31.2,18.5,10.1,3.5,0.8,0.7,9,,,False,False,False,False
2024-25,1630172,Patrick Williams,CHI,63,25.0,9.0,3.8,2.0,0.8,0.5,44,,,False,False,False,False
2024-25,1629659,Talen Horton-Tucker,CHI,58,12.5,6.5,1.7,1.4,0.4,0.2,22,,,False,False,False,False
2024-25,1630200,Tre Jones,CHI,18,25.3,11.5,3.2,4.9,1.1,0.3,30,,,False,False,False,False
2024-25,1628380,Zach Collins,CHI,28,19.7,8.6,6.7,2.1,0.5,0.5,12,,,False,False,False,False
2024-25,203897,Zach LaVine,CHI,42,34.1,24.0,4.8,4.5,0.9,0.2,8,,,False,False,False,False
2024-25,1627747,Caris LeVert,CLE,38,23.8,10.2,2.8,3.7,0.9,0.5,3,,,False,False,False,False
2024-25,1641854,Craig Porter Jr.,CLE,51,10.1,3.7,1.3,1.4,0.3,0.3,9,,,False,False,False,False
2024-25,1629636,Darius Garland,CLE,75,30.7,20.6,2.9,6.7,1.2,0.1,10,,,False,False,False,False
2024-25,1629631,De'Andre Hunter,CLE,27,25.1,14.3,4.2,1.3,0.7,0.3,12,,,False,False,False,False
2024-25,1629731,Dean Wade,CLE,59,21.2,5.4,4.2,1.3,0.7,0.3,32,,,False,False,False,False
2024-25,1628378,Donovan Mitchell,CLE,71,31.4,24.0,4.5,5.0,1.3,0.2,45,1,,False,False,False,False
2024-25,1630596,Evan Mobley,CLE,71,30.5,18.5,9.3,3.2,0.9,1.6,4,2,1,False,False,True,False
2024-25,1627777,Georges Niang,CLE,51,20.7,8.7,3.7,1.3,0.3,0.1,20,,,False,False,False,False
2024-25,1630171,Isaac Okoro,CLE,55,19.1,6.1,2.4,1.2,0.6,0.3,35,,,False,False,False,False
2024-25,1628386,Jarrett Allen,CLE,82,28.0,13.5,9.7,1.9,0.9,0.9,31,,,False,False,False,False
2024-25,1629622,Max Strus,CLE,50,25.5,9.4,4.3,3.2,0.5,0.2,1,,,False,False,False,False
2024-25,1630241,Sam Merrill,CLE,71,19.7,7.2,2.2,1.5,0.7,0.2,5,,,False,False,False,False
2024-25,1629660,Ty Jerome,CLE,70,19.9,12.5,2.5,3.4,1.1,0.0,2,,,False,False,False,False
2024-25,1630314,Brandon Williams,DAL,33,14.8,8.3,1.8,2.3,0.7,0.2,10,,,False,False,False,False
2024-25,1629655,Daniel Gafford,DAL,57,21.5,12.3,6.8,1.4,0.4,1.8,21,,,False,False,False,False
2024-25,203957,Dante Exum,DAL,20,18.6,8.7,1.7,2.8,0.6,0.2,0,,,False,False,False,False
2024-25,1641726,Dereck Lively II,DAL,36,23.1,8.7,7.5,2.4,0.6,1.6,2,,,False,False,False,False
2024-25,203939,Dwight Powell,DAL,55,10.0,2.1,2.1,1.0,0.3,0.4,7,,,False,False,False,False
2024-25,1630702,Jaden Hardy,DAL,57,15.9,8.7,1.6,1.4,0.5,0.1,1,,,False,False,False,False
2024-25,1630556,Kessler Edwards,DAL,40,15.2,4.2,2.9,1.1,0.5,0.5,20,,,False,False,False,False
2024-25,202691,Klay Thompson,DAL,72,27.3,14.0,3.4,2.0,0.7,0.4,31,,,False,False,False,False
2024-25,202681,Kyrie Irving,DAL,50,36.1,24.7,4.8,4.6,1.3,0.5,11,,,False,False,False,False
2024-25,1629029,Luka Dončić,DAL,22,35.7,28.1,8.3,7.8,2.0,0.4,77,,,False,False,False,False
2024-25,1631108,Max Christie,DAL,32,30.4,11.2,4.2,2.5,0.9,0.3,0,,,False,False,False,False
2024-25,1628467,Maxi Kleber,DAL,34,18.7,3.0,2.8,1.3,0.3,0.5,42,,,False,False,False,False
2024-25,1630230,Naji Marshall,DAL,69,27.8,13.2,4.8,3.0,1.0,0.2,13,,,False,False,False,False
2024-25,1641765,Olivier-Maxence Prosper,DAL,52,11.2,3.9,2.4,0.8,0.5,0.1,8,,,False,False,False,False
2024-25,1629023,P.J. Washington,DAL,57,32.2,14.7,7.8,2.3,1.1,1.1,25,,,False,False,False,False
2024-25,1629656,Quentin Grimes,DAL,47,22.8,10.2,3.8,2.1,0.7,0.2,5,,,False,False,False,False
2024-25,203915,Spencer Dinwiddie,DAL,79,27.0,11.0,2.7,4.4,0.9,0.2,26,,,False,False,False,False
2024-25,203932,Aaron Gordon,DEN,51,28.4,14.7,4.8,3.2,0.5,0.3,32,,,False,False,False,False
2024-25,1631128,Christian Braun,DEN,79,33.9,15.4,5.2,2.6,1.1,0.5,0,,,False,False,False,False
2024-25,203967,Dario Saric,DEN,16,13.1,3.5,3.1,1.4,0.4,0.1,9,,,False,False,False,False
2024-25,201599,DeAndre Jordan,DEN,56,12.3,3.7,5.1,0.9,0.3,0.5,6,,,False,False,False,False
2024-25,1629618,Jalen Pickett,DEN,49,13.6,4.1,1.4,2.2,0.4,0.1,24,,,False,False,False,False
2024-25,1627750,Jamal Murray,DEN,67,36.1,21.4,3.9,6.0,1.4,0.5,27,,,False,False,False,False
2024-25,1631124,Julian Strawther,DEN,65,21.3,9.0,2.2,1.3,0.6,0.2,3,,,False,False,False,False
2024-25,1629008,Michael Porter Jr.,DEN,77,33.7,18.2,7.0,2.1,0.6,0.5,1,,,False,False,False,False
2024-25,203999,Nikola Jokić,DEN,70,36.7,29.6,12.8,10.2,1.8,0.6,15,1,,False,False,False,False
2024-25,1631212,Peyton Watson,DEN,68,24.3,8.1,3.4,1.4,0.7,1.4,8,,,False,False,False,False
2024-25,201566,Russell Westbrook,DEN,75,27.9,13.3,4.9,6.1,1.4,0.5,4,,,False,False,False,False
2024-25,1630192,Zeke Nnaji,DEN,57,10.7,3.2,1.6,0.4,0.4,0.7,22,,,False,False,False,False
2024-25,1641709,Ausar Thompson,DET,59,22.5,10.1,5.1,2.3,1.7,0.7,9,,,False,False,False,False
2024-25,1630595,Cade Cunningham,DET,70,35.0,26.1,6.1,9.1,1.0,0.8,2,3,,False,False,False,False
2024-25,203471,Dennis Schröder,DET,28,25.2,10.8,2.6,5.3,0.5,0.2,17,,,False,False,False,False
2024-25,1630191,Isaiah Stewart,DET,72,19.9,6.0,5.5,1.7,0.4,1.4,28,,,False,False,False,False
2024-25,1631093,Jaden Ivey,DET,30,29.9,17.6,4.1,4.0,0.9,0.4,23,,,False,False,False,False
2024-25,1631105,Jalen Duren,DET,78,26.1,11.8,10.3,2.7,0.7,1.1,0,,,False,False,False,False
2024-25,1627736,Malik Beasley,DET,82,27.8,16.3,2.6,1.7,0.9,0.1,5,,,False,False,False,False
2024-25,1631204,Marcus Sasser,DET,57,14.2,6.6,1.2,2.3,0.6,0.1,25,,,False,False,False,False
2024-25,1641842,Ronald Holland II,DET,81,15.6,6.4,2.7,1.0,0.6,0.2,0,,,False,False,False,False
2024-25,1631323,Simone Fontecchio,DET,75,16.5,5.9,2.9,0.9,0.4,0.2,19,,,False,False,False,False
2024-25,203501,Tim Hardaway Jr.,DET,77,28.0,11.0,2.4,1.6,0.5,0.1,8,,,False,False,False,False
2024-25,202699,Tobias Harris,DET,73,31.6,13.7,5.9,2.2,1.0,0.8,12,,,False,False,False,False
2024-25,1631111,Wendell Moore Jr.,DET,20,10.9,3.2,2.2,1.2,0.5,0.2,14,,,False,False,False,False
2024-25,203952,Andrew Wiggins,GSW,43,30.1,17.6,4.6,2.4,0.9,0.8,22,,,False,False,False,False
2024-25,1641764,Brandin Podziemski,GSW,64,26.8,11.7,5.1,3.4,1.1,0.2,2,,,False,False,False,False
2024-25,1627741,Buddy Hield,GSW,82,22.7,11.1,3.2,1.6,0.8,0.3,7,,,False,False,False,False
2024-25,203471,Dennis Schröder,GSW,24,26.2,10.6,2.3,4.4,1.0,0.1,71,,,False,False,False,False
2024-25,203110,Draymond Green,GSW,68,29.2,9.0,6.1,5.6,1.5,1.0,23,,1,False,False,False,False
2024-25,1627780,Gary Payton II,GSW,62,15.0,6.5,3.0,1.3,0.8,0.3,0,,,False,False,False,False
2024-25,1630611,Gui Santos,GSW,56,13.6,4.1,3.1,1.4,0.4,0.2,15,,,False,False,False,False
2024-25,202710,Jimmy Butler III,GSW,30,32.7,17.9,5.5,5.9,1.7,0.3,10,,,False,False,False,False
2024-25,1630228,Jonathan Kuminga,GSW,47,24.3,15.3,4.6,2.2,0.8,0.4,0,,,False,False,False,False
2024-25,1626172,Kevon Looney,GSW,76,15.0,4.5,6.1,1.6,0.6,0.5,5,,,False,False,False,False
2024-25,203937,Kyle Anderson,GSW,36,15.0,5.3,3.1,2.3,0.7,0.6,1,,,False,False,False,False
2024-25,1630322,Lindy Waters III,GSW,38,17.2,5.5,2.5,1.1,0.6,0.3,43,,,False,False,False,False
2024-25,1630541,Moses Moody,GSW,74,22.3,9.8,2.6,1.3,0.8,0.4,4,,,False,False,False,False
2024-25,1642366,Quinten Post,GSW,42,16.3,8.1,3.5,1.3,0.4,0.4,21,,,False,False,False,False
2024-25,201939,Stephen Curry,GSW,70,32.2,24.5,4.4,6.0,1.1,0.4,30,2,,False,False,False,False
2024-25,1631218,Trayce Jackson-Davis,GSW,62,15.6,6.6,5.0,1.7,0.4,0.6,32,,,False,False,False,False
2024-25,1628988,Aaron Holiday,HOU,62,12.8,5.5,1.3,1.3,0.3,0.2,0,,,False,False,False,False
2024-25,1630578,Alperen Sengun,HOU,76,31.5,19.1,10.3,4.9,1.1,0.8,28,,,False,False,False,False
2024-25,1641708,Amen Thompson,HOU,69,32.3,14.1,8.2,3.8,1.4,1.3,1,,1,False,False,False,False
2024-25,1641715,Cam Whitmore,HOU,51,16.2,9.4,3.0,1.0,0.6,0.3,7,,,False,False,False,False
2024-25,1628415,Dillon Brooks,HOU,75,31.8,14.0,3.7,1.7,0.8,0.2,9,,,False,False,False,False
2024-25,1627832,Fred VanVleet,HOU,60,35.2,14.1,3.7,5.6,1.6,0.4,5,,,False,False,False,False
2024-25,1631095,Jabari Smith Jr.,HOU,57,30.1,12.2,7.0,1.1,0.4,0.7,10,,,False,False,False,False
2024-25,1630256,Jae'Sean Tate,HOU,52,11.3,3.6,2.3,0.9,0.5,0.1,8,,,False,False,False,False
2024-25,1630224,Jalen Green,HOU,82,32.9,21.0,4.6,3.4,0.9,0.3,4,,,False,False,False,False
2024-25,201145,Jeff Green,HOU,32,12.4,5.4,1.8,0.6,0.2,0.1,32,,,False,False,False,False
2024-25,1629111,Jock Landale,HOU,42,11.9,4.8,3.3,0.9,0.3,0.2,2,,,False,False,False,False
2024-25,1642263,Reed Sheppard,HOU,52,12.6,4.4,1.5,1.4,0.7,0.3,15,,,False,False,False,False
2024-25,203500,Steven Adams,HOU,58,13.7,3.9,5.6,1.1,0.4,0.5,12,,,False,False,False,False
2024-25,1631106,Tari Eason,HOU,57,24.9,12.0,6.4,1.5,1.7,0.9,17,,,False,False,False,False
2024-25,1630174,Aaron Nesmith,IND,45,24.9,12.0,4.0,1.2,0.8,0.4,23,,,False,False,False,False
2024-25,1629614,Andrew Nembhard,IND,65,28.9,10.0,3.3,5.0,1.2,0.2,2,,,False,False,False,False
2024-25,1641767,Ben Sheppard,IND,63,19.5,5.3,2.8,1.3,0.6,0.2,26,,,False,False,False,False
2024-25,1631097,Bennedict Mathurin,IND,72,29.9,16.1,5.3,1.9,0.7,0.3,0,,,False,False,False,False
2024-25,1641716,Jarace Walker,IND,75,15.8,6.1,3.1,1.5,0.7,0.3,5,,,False,False,False,False
2024-25,1626167,Myles Turner,IND,72,30.2,15.6,6.5,1.5,0.8,2.0,33,,,False,False,False,False
2024-25,1630167,Obi Toppin,IND,79,19.6,10.5,4.0,1.6,0.6,0.4,1,,,False,False,False,False
2024-25,1627783,Pascal Siakam,IND,78,32.7,20.2,6.9,3.4,0.9,0.5,43,,,False,False,False,False
2024-25,1631245,Quenton Jackson,IND,28,13.6,5.8,1.6,1.9,0.8,0.2,29,,,False,False,False,False
2024-25,204456,T.J. McConnell,IND,79,17.9,9.1,2.4,4.4,1.1,0.3,9,,,False,False,False,False
2024-25,1628418,Thomas Bryant,IND,56,15.1,6.9,3.9,0.9,0.5,0.6,3,,,False,False,False,False
2024-25,1630169,Tyrese Haliburton,IND,73,33.6,18.6,3.5,9.2,1.4,0.7,0,3,,False,False,False,False
2024-25,1629599,Amir Coffey,LAC,72,24.3,9.7,2.2,1.1,0.6,0.1,7,,,False,False,False,False
2024-25,1627732,Ben Simmons,LAC,18,16.4,2.9,3.8,3.1,0.7,0.4,25,,,False,False,False,False
2024-25,203992,Bogdan Bogdanović,LAC,30,25.0,11.4,3.1,3.2,0.7,0.2,10,,,False,False,False,False
2024-25,1630538,Bones Hyland,LAC,20,11.1,7.2,1.2,1.4,0.9,0.2,5,,,False,False,False,False
2024-25,1627884,Derrick Jones Jr.,LAC,77,24.3,10.1,3.4,0.8,1.0,0.4,55,,,False,False,False,False
2024-25,1627826,Ivica Zubac,LAC,80,32.8,16.8,12.6,2.7,0.7,1.1,40,,2,False,False,False,False
2024-25,201935,James Harden,LAC,79,35.3,22.8,5.8,8.7,1.5,0.7,1,3,,False,False,False,False
2024-25,1641757,Jordan Miller,LAC,37,11.4,4.1,1.6,0.9,0.5,0.1,11,,,False,False,False,False
2024-25,202695,Kawhi Leonard,LAC,37,31.9,21.5,5.9,3.1,1.6,0.5,2,,,False,False,False,False
2024-25,1629645,Kevin Porter Jr.,LAC,45,19.6,9.3,3.6,3.2,1.0,0.2,77,,,False,False,False,False
2024-25,1627739,Kris Dunn,LAC,74,24.1,6.4,3.4,2.8,1.7,0.4,8,,,False,False,False,False
2024-25,1628964,Mo Bamba,LAC,28,12.6,4.6,4.3,0.6,0.3,1.0,4,,,False,False,False,False
2024-25,201587,Nicolas Batum,LAC,78,17.5,4.0,2.8,1.1,0.7,0.5,33,,,False,False,False,False
2024-25,1626181,Norman Powell,LAC,60,32.6,21.8,3.2,2.1,1.2,0.2,24,,,False,False,False,False
2024-25,1629611,Terance Mann,LAC,37,19.8,6.0,2.9,1.6,0.8,0.3,14,,,False,False,False,False
2024-25,203076,Anthony Davis,LAL,42,34.3,25.7,11.9,3.4,1.3,2.1,3,,,False,False,False,False
2024-25,1630559,Austin Reaves,LAL,73,34.9,20.2,4.5,5.8,1.1,0.3,15,,,False,False,False,False
2024-25,1629629,Cam Reddish,LAL,33,17.9,3.2,2.0,0.7,1.0,0.3,5,,,False,False,False,False
2024-25,1626156,D'Angelo Russell,LAL,29,26.3,12.4,2.8,4.7,0.8,0.1,1,,,False,False,False,False
2024-25,1642261,Dalton Knecht,LAL,78,19.2,9.1,2.8,0.8,0.3,0.1,4,,,False,False,False,False
2024-25,1627827,Dorian Finney-Smith,LAL,43,28.8,7.9,3.6,1.4,0.9,0.3,17,,,False,False,False,False
2024-25,1629216,Gabe Vincent,LAL,72,21.2,6.4,1.3,1.4,0.7,0.2,7,,,False,False,False,False
2024-25,1629020,Jarred Vanderbilt,LAL,36,16.1,4.1,5.1,1.1,1.0,0.3,2,,,False,False,False,False
2024-25,1629637,Jaxson Hayes,LAL,56,19.5,6.8,4.8,1.0,0.6,0.9,11,,,False,False,False,False
2024-25,1630692,Jordan Goodwin,LAL,29,18.7,5.6,3.9,1.4,1.0,0.4,30,,,False,False,False,False
2024-25,2544,LeBron James,LAL,70,34.9,24.4,7.8,8.2,1.0,0.6,23,2,,False,False,False,False
2024-25,1629029,Luka Dončić,LAL,28,35.1,28.2,8.1,7.5,1.6,0.4,77,,,False,False,False,False
2024-25,1631108,Max Christie,LAL,46,25.1,8.5,2.7,1.4,0.8,0.5,12,,,False,False,False,False
2024-25,1629060,Rui Hachimura,LAL,59,31.7,13.1,5.0,1.4,0.8,0.4,28,,,False,False,False,False
2024-25,1629003,Shake Milton,LAL,30,11.5,3.9,1.8,1.3,0.3,0.1,20,,,False,False,False,False
2024-25,1641998,Trey Jemison III,LAL,22,10.3,2.6,2.8,0.3,0.1,0.4,55,,,False,False,False,False
2024-25,1629634,Brandon Clarke,MEM,64,18.9,8.3,5.1,1.0,0.8,0.6,15,,,False,False,False,False
2024-25,1642285,Cam Spencer,MEM,25,10.1,4.2,1.2,1.4,0.4,0.0,24,,,False,False,False,False
2024-25,1630217,Desmond Bane,MEM,69,32.0,19.2,6.1,5.3,1.2,0.4,22,,,False,False,False,False
2024-25,1641713,GG Jackson,MEM,29,15.8,7.2,3.2,1.0,0.4,0.2,45,,,False,False,False,False
2024-25,1629630,Ja Morant,MEM,50,30.4,23.2,4.1,7.3,1.2,0.2,12,,,False,False,False,False
2024-25,1631222,Jake LaRavia,MEM,47,20.9,7.3,4.4,2.8,0.9,0.4,3,,,False,False,False,False
2024-25,1628991,Jaren Jackson Jr.,MEM,74,29.8,22.2,5.6,2.0,1.2,1.5,13,,2,False,False,False,False
2024-25,1630643,Jay Huff,MEM,64,11.7,6.9,2.0,0.6,0.3,0.9,30,,,False,False,False,False
2024-25,1642377,Jaylen Wells,MEM,79,25.9,10.4,3.4,1.7,0.6,0.1,0,,,False,False,False,False
2024-25,1629723,John Konchar,MEM,46,12.1,2.4,3.3,0.9,0.7,0.3,46,,,False,False,False,False
2024-25,1628379,Luke Kennard,MEM,65,22.6,8.9,2.8,3.3,0.8,0.1,10,,,False,False,False,False
2024-25,203935,Marcus Smart,MEM,19,21.1,8.7,2.3,3.7,1.2,0.3,36,,,False,False,False,False
2024-25,1630583,Santi Aldama,MEM,65,25.5,12.5,6.4,2.9,0.8,0.4,7,,,False,False,False,False
2024-25,1630590,Scotty Pippen Jr.,MEM,79,21.3,9.9,3.3,4.4,1.3,0.4,1,,,False,False,False,False
2024-25,1631246,Vince Williams Jr.,MEM,27,18.5,6.6,3.6,2.0,0.4,0.3,5,,,False,False,False,False
2024-25,1641744,Zach Edey,MEM,66,21.5,9.2,8.3,1.0,0.5,1.3,14,,,False,False,False,False
2024-25,202692,Alec Burks,MIA,49,17.6,7.3,2.5,1.1,0.6,0.1,18,,,False,False,False,False
2024-25,203952,Andrew Wiggins,MIA,17,32.1,19.0,4.2,3.3,1.2,1.0,22,,,False,False,False,False
2024-25,1628389,Bam Adebayo,MIA,78,34.3,18.1,9.6,4.3,1.3,0.7,13,,,False,False,False,False
