season,player_id,player,team,gp,mpg,ppg,rpg,apg,spg,bpg,jersey,all_nba,all_defense,champion,mvp,dpoy,roy
2024-25,203992,Bogdan Bogdanović,ATL,24,24.9,10.0,2.8,2.0,0.8,0.3,13,,,False,False,False,False
2024-25,1627747,Caris LeVert,ATL,26,26.6,14.9,3.7,2.9,0.9,0.5,3,,,False,False,False,False
2024-25,203991,Clint Capela,ATL,55,21.4,8.9,8.5,1.1,0.6,1.0,15,,,False,False,False,False
2024-25,1631223,David Roddy,ATL,27,12.8,4.5,2.6,1.1,0.4,0.3,8,,,False,False,False,False
2024-25,1629631,De'Andre Hunter,ATL,37,28.8,19.0,3.9,1.5,0.8,0.1,12,,,False,False,False,False
2024-25,1631230,Dominick Barlow,ATL,35,10.7,4.2,2.4,0.5,0.3,0.5,26,,,False,False,False,False
2024-25,1630700,Dyson Daniels,ATL,76,33.8,14.1,5.9,4.4,3.0,0.7,5,,1,False,False,False,False
2024-25,1629726,Garrison Mathews,ATL,47,17.7,7.5,1.9,1.3,0.6,0.3,24,,,False,False,False,False
2024-25,1627777,Georges Niang,ATL,28,23.0,12.1,3.0,1.6,0.4,0.3,20,,,False,False,False,False
2024-25,1630552,Jalen Johnson,ATL,36,35.7,18.9,10.0,5.0,1.6,1.0,1,,,False,False,False,False
2024-25,1630811,Keaton Wallace,ATL,31,16.2,5.4,1.6,2.6,0.9,0.3,2,,,False,False,False,False
2024-25,1626204,Larry Nance Jr.,ATL,24,19.3,8.5,4.3,1.6,0.8,0.5,22,,,False,False,False,False
2024-25,1631243,Mouhamed Gueye,ATL,33,16.1,6.0,4.2,0.8,0.8,1.0,18,,,False,False,False,False
2024-25,1630168,Onyeka Okongwu,ATL,74,27.9,13.4,8.9,2.3,0.9,0.9,17,,,False,False,False,False
2024-25,1629611,Terance Mann,ATL,30,22.7,9.8,3.1,2.1,0.6,0.1,14,,,False,False,False,False
2024-25,1629027,Trae Young,ATL,76,36.0,24.2,3.1,11.6,1.2,0.2,11,,,False,False,False,False
2024-25,1630249,Vít Krejčí,ATL,57,20.2,7.2,2.7,2.6,0.6,0.5,27,,,False,False,False,False
2024-25,1642258,Zaccharie Risacher,ATL,75,24.6,12.6,3.6,1.2,0.7,0.5,10,,,False,False,False,False
2024-25,1627732,Ben Simmons,BKN,33,25.0,6.2,5.2,6.9,0.8,0.5,10,,,False,False,False,False
2024-25,1630560,Cam Thomas,BKN,25,31.2,24.0,3.4,3.8,0.6,0.1,24,,,False,False,False,False
2024-25,1629661,Cameron Johnson,BKN,57,31.6,18.8,4.3,3.4,0.9,0.4,2,,,False,False,False,False
2024-25,1626156,D'Angelo Russell,BKN,29,24.7,12.9,2.8,5.6,1.1,0.7,1,,,False,False,False,False
2024-25,1641727,Dariq Whitehead,BKN,20,12.3,5.7,1.5,0.6,0.3,0.1,0,,,False,False,False,False
2024-25,1630549,Day'Ron Sharpe,BKN,50,18.1,7.9,6.6,1.8,0.8,0.8,20,,,False,False,False,False
2024-25,203471,Dennis Schröder,BKN,23,33.6,18.4,3.0,6.6,1.1,0.2,17,,,False,False,False,False
