team,player_id,player,listed_numbers,verified_final_jersey,source,status
CHA,1641750,Ryan Kalkbrenner,11,11,https://www.basketball-reference.com/teams/CHO/2026.html,VERIFIED
CHA,1642883,Sion James,4,4,https://www.basketball-reference.com/teams/CHO/2026.html,VERIFIED
CHA,1642275,Tidjane Salaün,31,31,https://www.basketball-reference.com/teams/CHO/2026.html,VERIFIED
CHA,1630544,Tre Mann,23,23,https://www.basketball-reference.com/teams/CHO/2026.html,VERIFIED
CHI,1630245,Ayo Dosunmu,11,11,https://www.basketball-reference.com/teams/CHI/2026.html,VERIFIED
CHI,1629632,Coby White,0,0,https://www.basketball-reference.com/teams/CHI/2026.html,VERIFIED
CHI,1629012,Collin Sexton,2,2,https://www.basketball-reference.com/teams/CHI/2026.html,VERIFIED
CHI,1631207,Dalen Terry,7,7,https://www.basketball-reference.com/teams/CHI/2026.html,VERIFIED
CHI,1627824,Guerschon Yabusele,28,28,https://www.basketball-reference.com/teams/CHI/2026.html,VERIFIED
CHI,1630171,Isaac Okoro,35,35,https://www.basketball-reference.com/teams/CHI/2026.html,VERIFIED
CHI,1630188,Jalen Smith,25,25,https://www.basketball-reference.com/teams/CHI/2026.html,VERIFIED
CHI,1628975,Jevon Carter,5,5,https://www.basketball-reference.com/teams/CHI/2026.html,VERIFIED
CHI,1630581,Josh Giddey,3,3,https://www.basketball-reference.com/teams/CHI/2026.html,VERIFIED
CHI,1628989,Kevin Huerter,13,13,https://www.basketball-reference.com/teams/CHI/2026.html,VERIFIED
CHI,1631159,Leonard Miller,11,11,https://www.basketball-reference.com/teams/CHI/2026.html,VERIFIED
CHI,1641824,Matas Buzelis,14,14,https://www.basketball-reference.com/teams/CHI/2026.html,VERIFIED
CHI,1630208,Nick Richards,13,13,https://www.basketball-reference.com/teams/CHI/2026.html,VERIFIED
CHI,202696,Nikola Vučević,9,9,https://www.basketball-reference.com/teams/CHI/2026.html,VERIFIED
CHI,1630172,Patrick Williams,44,44,https://www.basketball-reference.com/teams/CHI/2026.html,VERIFIED
CHI,1642265,Rob Dillingham,7,7,https://www.basketball-reference.com/teams/CHI/2026.html,VERIFIED
CHI,1630200,Tre Jones,30,30,https://www.basketball-reference.com/teams/CHI/2026.html,VERIFIED
CHI,1642530,Yuki Kawamura,8,8,https://www.basketball-reference.com/teams/CHI/2026.html,VERIFIED
CLE,1641854,Craig Porter Jr.,9,9,https://www.basketball-reference.com/teams/CLE/2026.html,VERIFIED
CLE,1629636,Darius Garland,10,10,https://www.basketball-reference.com/teams/CLE/2026.html,VERIFIED
CLE,1629631,De'Andre Hunter,12,12,https://www.basketball-reference.com/teams/CLE/2026.html,VERIFIED
CLE,1629731,Dean Wade,32,32,https://www.basketball-reference.com/teams/CLE/2026.html,VERIFIED
CLE,203471,Dennis Schröder,8,8,https://www.basketball-reference.com/teams/CLE/2026.html,VERIFIED
CLE,1628378,Donovan Mitchell,45,45,https://www.basketball-reference.com/teams/CLE/2026.html,VERIFIED
CLE,1630596,Evan Mobley,4,4,https://www.basketball-reference.com/teams/CLE/2026.html,VERIFIED
CLE,201935,James Harden,1,1,https://www.basketball-reference.com/teams/CLE/2026.html,VERIFIED
CLE,1628386,Jarrett Allen,31,31,https://www.basketball-reference.com/teams/CLE/2026.html,VERIFIED
CLE,1642281,Jaylon Tyson,20,20,https://www.basketball-reference.com/teams/CLE/2026.html,VERIFIED
CLE,1631165,Keon Ellis,14,14,https://www.basketball-reference.com/teams/CLE/2026.html,VERIFIED
CLE,1626204,Larry Nance Jr.,22,22,https://www.basketball-reference.com/teams/CLE/2026.html,VERIFIED
CLE,1628366,Lonzo Ball,2,2,https://www.basketball-reference.com/teams/CLE/2026.html,VERIFIED
CLE,1641772,Nae'Qwan Tomlin,35,35,https://www.basketball-reference.com/teams/CLE/2026.html,VERIFIED
CLE,1630241,Sam Merrill,5,5,https://www.basketball-reference.com/teams/CLE/2026.html,VERIFIED
CLE,1628418,Thomas Bryant,3,3,https://www.basketball-reference.com/teams/CLE/2026.html,VERIFIED
CLE,1642878,Tyrese Proctor,24,24,https://www.basketball-reference.com/teams/CLE/2026.html,VERIFIED
DAL,1642358,AJ Johnson,8,8,https://www.basketball-reference.com/teams/DAL/2026.html,VERIFIED
DAL,203076,Anthony Davis,3,3,https://www.basketball-reference.com/teams/DAL/2026.html,VERIFIED
DAL,1630314,Brandon Williams,10,10,https://www.basketball-reference.com/teams/DAL/2026.html,VERIFIED
DAL,1628997,Caleb Martin,16,16,https://www.basketball-reference.com/teams/DAL/2026.html,VERIFIED
DAL,1642843,Cooper Flagg,32,32,https://www.basketball-reference.com/teams/DAL/2026.html,VERIFIED
DAL,1626156,D'Angelo Russell,5,5,https://www.basketball-reference.com/teams/DAL/2026.html,VERIFIED
DAL,1629655,Daniel Gafford,21,21,https://www.basketball-reference.com/teams/DAL/2026.html,VERIFIED
DAL,203939,Dwight Powell,7,7,https://www.basketball-reference.com/teams/DAL/2026.html,VERIFIED
DAL,1630702,Jaden Hardy,1,1,https://www.basketball-reference.com/teams/DAL/2026.html,VERIFIED
DAL,203114,Khris Middleton,20,20,https://www.basketball-reference.com/teams/DAL/2026.html,VERIFIED
DAL,202691,Klay Thompson,31,31,https://www.basketball-reference.com/teams/DAL/2026.html,VERIFIED
DAL,1628963,Marvin Bagley III,35,35,https://www.basketball-reference.com/teams/DAL/2026.html,VERIFIED
DAL,1631108,Max Christie,0,0,https://www.basketball-reference.com/teams/DAL/2026.html,VERIFIED
DAL,1630619,Moussa Cisse,30,30,https://www.basketball-reference.com/teams/DAL/2026.html,VERIFIED
DAL,1630230,Naji Marshall,13,13,https://www.basketball-reference.com/teams/DAL/2026.html,VERIFIED
DAL,1629023,P.J. Washington,25,25,https://www.basketball-reference.com/teams/DAL/2026.html,VERIFIED
DAL,1642948,Ryan Nembhard,9,9,https://www.basketball-reference.com/teams/DAL/2026.html,VERIFIED
DEN,203932,Aaron Gordon,32,32,https://www.basketball-reference.com/teams/DEN/2026.html,VERIFIED
DEN,1628971,Bruce Brown,11,11,https://www.basketball-reference.com/teams/DEN/2026.html,VERIFIED
DEN,1629661,Cameron Johnson,23,23,https://www.basketball-reference.com/teams/DEN/2026.html,VERIFIED
DEN,1631128,Christian Braun,0,0,https://www.basketball-reference.com/teams/DEN/2026.html,VERIFIED
DEN,1629618,Jalen Pickett,24,24,https://www.basketball-reference.com/teams/DEN/2026.html,VERIFIED
DEN,1627750,Jamal Murray,27,27,https://www.basketball-reference.com/teams/DEN/2026.html,VERIFIED
DEN,202685,Jonas Valančiūnas,17,17,https://www.basketball-reference.com/teams/DEN/2026.html,VERIFIED
DEN,1631124,Julian Strawther,3,3,https://www.basketball-reference.com/teams/DEN/2026.html,VERIFIED
DEN,203999,Nikola Jokić,15,15,https://www.basketball-reference.com/teams/DEN/2026.html,VERIFIED
DEN,1631212,Peyton Watson,8,8,https://www.basketball-reference.com/teams/DEN/2026.html,VERIFIED
DEN,1642461,Spencer Jones,21,21,https://www.basketball-reference.com/teams/DEN/2026.html,VERIFIED
DEN,203501,Tim Hardaway Jr.,10,10,https://www.basketball-reference.com/teams/DEN/2026.html,VERIFIED
DEN,1630192,Zeke Nnaji,22,22,https://www.basketball-reference.com/teams/DEN/2026.html,VERIFIED
DET,1641709,Ausar Thompson,9,9,https://www.basketball-reference.com/teams/DET/2026.html,VERIFIED
DET,1630595,Cade Cunningham,2,2,https://www.basketball-reference.com/teams/DET/2026.html,VERIFIED
DET,1627747,Caris LeVert,8,8,https://www.basketball-reference.com/teams/DET/2026.html,VERIFIED
DET,1642450,Daniss Jenkins,24,24,https://www.basketball-reference.com/teams/DET/2026.html,VERIFIED
DET,1629130,Duncan Robinson,55,55,https://www.basketball-reference.com/teams/DET/2026.html,VERIFIED
DET,1630191,Isaiah Stewart,28,28,https://www.basketball-reference.com/teams/DET/2026.html,VERIFIED
DET,1631093,Jaden Ivey,23,23,https://www.basketball-reference.com/teams/DET/2026.html,VERIFIED
DET,1631105,Jalen Duren,0,0,https://www.basketball-reference.com/teams/DET/2026.html,VERIFIED
DET,1629750,Javonte Green,31,31,https://www.basketball-reference.com/teams/DET/2026.html,VERIFIED
DET,1628989,Kevin Huerter,27,27,https://www.basketball-reference.com/teams/DET/2026.html,VERIFIED
DET,1631204,Marcus Sasser,25,25,https://www.basketball-reference.com/teams/DET/2026.html,VERIFIED
DET,1630194,Paul Reed,7,7,https://www.basketball-reference.com/teams/DET/2026.html,VERIFIED
DET,1641842,Ronald Holland II,5,5,https://www.basketball-reference.com/teams/DET/2026.html,VERIFIED
DET,202699,Tobias Harris,12,12,https://www.basketball-reference.com/teams/DET/2026.html,VERIFIED
GSW,201143,Al Horford,20,20,https://www.basketball-reference.com/teams/GSW/2026.html,VERIFIED
GSW,1641764,Brandin Podziemski,2,2,https://www.basketball-reference.com/teams/GSW/2026.html,VERIFIED
GSW,1627741,Buddy Hield,7,7,https://www.basketball-reference.com/teams/GSW/2026.html,VERIFIED
GSW,1629001,De'Anthony Melton,8,8,https://www.basketball-reference.com/teams/GSW/2026.html,VERIFIED
GSW,203110,Draymond Green,23,23,https://www.basketball-reference.com/teams/GSW/2026.html,VERIFIED
GSW,1627780,Gary Payton II,0,0,https://www.basketball-reference.com/teams/GSW/2026.html,VERIFIED
GSW,1630611,Gui Santos,15,15,https://www.basketball-reference.com/teams/GSW/2026.html,VERIFIED
GSW,202710,Jimmy Butler III,10,10,https://www.basketball-reference.com/teams/GSW/2026.html,VERIFIED
GSW,1630228,Jonathan Kuminga,1,1,https://www.basketball-reference.com/teams/GSW/2026.html,VERIFIED
GSW,204001,Kristaps Porziņģis,7,7,https://www.basketball-reference.com/teams/GSW/2026.html,VERIFIED
GSW,1643018,LJ Cryer,18,18,https://www.basketball-reference.com/teams/GSW/2026.html,VERIFIED
GSW,1642502,Malevy Leons,33,33,https://www.basketball-reference.com/teams/GSW/2026.html,VERIFIED
GSW,1630541,Moses Moody,4,4,https://www.basketball-reference.com/teams/GSW/2026.html,VERIFIED
GSW,1630311,Pat Spencer,61,61,https://www.basketball-reference.com/teams/GSW/2026.html,VERIFIED
GSW,1642366,Quinten Post,21,21,https://www.basketball-reference.com/teams/GSW/2026.html,VERIFIED
GSW,201939,Stephen Curry,30,30,https://www.basketball-reference.com/teams/GSW/2026.html,VERIFIED
GSW,1631218,Trayce Jackson-Davis,32,32,https://www.basketball-reference.com/teams/GSW/2026.html,VERIFIED
GSW,1642954,Will Richard,3,3,https://www.basketball-reference.com/teams/GSW/2026.html,VERIFIED
HOU,1628988,Aaron Holiday,0,0,https://www.basketball-reference.com/teams/HOU/2026.html,VERIFIED
HOU,1630578,Alperen Sengun,28,28,https://www.basketball-reference.com/teams/HOU/2026.html,VERIFIED
HOU,1641708,Amen Thompson,1,1,https://www.basketball-reference.com/teams/HOU/2026.html,VERIFIED
HOU,203991,Clint Capela,30,30,https://www.basketball-reference.com/teams/HOU/2026.html,VERIFIED
HOU,1627827,Dorian Finney-Smith,2,2,https://www.basketball-reference.com/teams/HOU/2026.html,VERIFIED
HOU,1631095,Jabari Smith Jr.,10,10,https://www.basketball-reference.com/teams/HOU/2026.html,VERIFIED
HOU,1629006,Josh Okogie,20,20,https://www.basketball-reference.com/teams/HOU/2026.html,VERIFIED
HOU,201142,Kevin Durant,7,7,https://www.basketball-reference.com/teams/HOU/2026.html,VERIFIED
HOU,1642263,Reed Sheppard,15,15,https://www.basketball-reference.com/teams/HOU/2026.html,VERIFIED
HOU,203500,Steven Adams,12,12,https://www.basketball-reference.com/teams/HOU/2026.html,VERIFIED
HOU,1631106,Tari Eason,17,17,https://www.basketball-reference.com/teams/HOU/2026.html,VERIFIED
IND,1630174,Aaron Nesmith,23,23,https://www.basketball-reference.com/teams/IND/2026.html,VERIFIED
IND,1629614,Andrew Nembhard,2,2,https://www.basketball-reference.com/teams/IND/2026.html,VERIFIED
IND,1641767,Ben Sheppard,26,26,https://www.basketball-reference.com/teams/IND/2026.html,VERIFIED
IND,1631097,Bennedict Mathurin,0,0,https://www.basketball-reference.com/teams/IND/2026.html,VERIFIED
IND,1630679,Ethan Thompson,55,55,https://www.basketball-reference.com/teams/IND/2026.html,VERIFIED
IND,1629726,Garrison Mathews,24,24,https://www.basketball-reference.com/teams/IND/2026.html,VERIFIED
IND,1630543,Isaiah Jackson,22,22,https://www.basketball-reference.com/teams/IND/2026.html,VERIFIED
IND,1641716,Jarace Walker,5,5,https://www.basketball-reference.com/teams/IND/2026.html,VERIFIED
IND,1630643,Jay Huff,32,32,https://www.basketball-reference.com/teams/IND/2026.html,VERIFIED
IND,1630526,Jeremiah Robinson-Earl,25,25,https://www.basketball-reference.com/teams/IND/2026.html,VERIFIED
IND,1642277,Johnny Furphy,12,12,https://www.basketball-reference.com/teams/IND/2026.html,VERIFIED
IND,1642880,Kam Jones,7,7,https://www.basketball-reference.com/teams/IND/2026.html,VERIFIED
IND,1641738,Kobe Brown,24,24,https://www.basketball-reference.com/teams/IND/2026.html,VERIFIED
IND,1630695,Micah Potter,11,11,https://www.basketball-reference.com/teams/IND/2026.html,VERIFIED
IND,1630167,Obi Toppin,1,1,https://www.basketball-reference.com/teams/IND/2026.html,VERIFIED
IND,1627783,Pascal Siakam,43,43,https://www.basketball-reference.com/teams/IND/2026.html,VERIFIED
IND,1631245,Quenton Jackson,29,29,https://www.basketball-reference.com/teams/IND/2026.html,VERIFIED
IND,204456,T.J. McConnell,9,9,https://www.basketball-reference.com/teams/IND/2026.html,VERIFIED
IND,1643007,Taelon Peter,4,4,https://www.basketball-reference.com/teams/IND/2026.html,VERIFIED
IND,1628396,Tony Bradley,13,13,https://www.basketball-reference.com/teams/IND/2026.html,VERIFIED
LAC,1631097,Bennedict Mathurin,9,9,https://www.basketball-reference.com/teams/LAC/2026.html,VERIFIED
LAC,203992,Bogdan Bogdanović,"7, 10",10,https://www.basketball-reference.com/teams/LAC/2026.html,VERIFIED
LAC,201572,Brook Lopez,11,11,https://www.basketball-reference.com/teams/LAC/2026.html,VERIFIED
LAC,101108,Chris Paul,3,3,https://www.basketball-reference.com/teams/LAC/2026.html,VERIFIED
LAC,1629636,Darius Garland,10,10,https://www.basketball-reference.com/teams/LAC/2026.html,VERIFIED
LAC,1627884,Derrick Jones Jr.,5,5,https://www.basketball-reference.com/teams/LAC/2026.html,VERIFIED
LAC,1630543,Isaiah Jackson,23,23,https://www.basketball-reference.com/teams/LAC/2026.html,VERIFIED
LAC,1627826,Ivica Zubac,40,40,https://www.basketball-reference.com/teams/LAC/2026.html,VERIFIED
LAC,201935,James Harden,1,1,https://www.basketball-reference.com/teams/LAC/2026.html,VERIFIED
LAC,1628381,John Collins,20,20,https://www.basketball-reference.com/teams/LAC/2026.html,VERIFIED
LAC,1641757,Jordan Miller,22,22,https://www.basketball-reference.com/teams/LAC/2026.html,VERIFIED
LAC,202695,Kawhi Leonard,2,2,https://www.basketball-reference.com/teams/LAC/2026.html,VERIFIED
LAC,1642920,Kobe Sanders,4,4,https://www.basketball-reference.com/teams/LAC/2026.html,VERIFIED
LAC,1627739,Kris Dunn,8,8,https://www.basketball-reference.com/teams/LAC/2026.html,VERIFIED
LAC,201587,Nicolas Batum,33,33,https://www.basketball-reference.com/teams/LAC/2026.html,VERIFIED
LAC,1642949,Yanic Konan Niederhäuser,14,14,https://www.basketball-reference.com/teams/LAC/2026.html,VERIFIED
LAL,1630559,Austin Reaves,15,15,https://www.basketball-reference.com/teams/LAL/2026.html,VERIFIED
LAL,1642261,Dalton Knecht,4,4,https://www.basketball-reference.com/teams/LAL/2026.html,VERIFIED
LAL,1629028,Deandre Ayton,5,5,https://www.basketball-reference.com/teams/LAL/2026.html,VERIFIED
LAL,1629216,Gabe Vincent,7,7,https://www.basketball-reference.com/teams/LAL/2026.html,VERIFIED
LAL,1631222,Jake LaRavia,12,12,https://www.basketball-reference.com/teams/LAL/2026.html,VERIFIED
LAL,1629020,Jarred Vanderbilt,2,2,https://www.basketball-reference.com/teams/LAL/2026.html,VERIFIED
LAL,1629637,Jaxson Hayes,11,11,https://www.basketball-reference.com/teams/LAL/2026.html,VERIFIED
LAL,2544,LeBron James,23,23,https://www.basketball-reference.com/teams/LAL/2026.html,VERIFIED
LAL,1629029,Luka Dončić,77,77,https://www.basketball-reference.com/teams/LAL/2026.html,VERIFIED
LAL,1628379,Luke Kennard,10,10,https://www.basketball-reference.com/teams/LAL/2026.html,VERIFIED
LAL,203935,Marcus Smart,36,36,https://www.basketball-reference.com/teams/LAL/2026.html,VERIFIED
LAL,1628467,Maxi Kleber,14,14,https://www.basketball-reference.com/teams/LAL/2026.html,VERIFIED
LAL,1641733,Nick Smith Jr.,20,20,https://www.basketball-reference.com/teams/LAL/2026.html,VERIFIED
LAL,1629060,Rui Hachimura,28,28,https://www.basketball-reference.com/teams/LAL/2026.html,VERIFIED
MEM,1642285,Cam Spencer,24,24,https://www.basketball-reference.com/teams/MEM/2026.html,VERIFIED
